COUNTY,AREA,RISK_VALUE,RISK_SPCTL,ALR_VALB,ALR_VALP,ALR_VALA,SOVI_SPCTL,RESL_SPCTL,RESL_VALUE,CRF_VALUE,HRCN_ALRB,HRCN_ALRP,HRCN_ALRA,HRCN_RISKV,IFLD_ALRB,IFLD_ALRP,IFLD_ALRA,IFLD_RISKV,HRCN_EXP_AREA_RATIO,IFLD_EXP_AREA_RATIO,POPULATION_DENS,BUILDVALUE_DENS,AGRIVALUE_DENS
JACKSON,499.86901146,45026800.563527994,80.470737913486,0.0018746226086,1.911229895e-05,0.028560333253088,84.0,48.0,2.440978036,1.566436741,2.653045426e-05,1.1711181e-08,0.000409919795684,445579.74021314865,0.001463953172149,1.78191221e-07,0.005403033617241,23750351.071085166,1.0,0.05233700249331647,86.18457838418611,20464893.068928707,29974.48862900552
JOHNSTON,803.67649869,59808551.2474448,85.55979643765902,0.001173794977822,6.568332273e-06,0.01556068812201,15.5,60.0,2.469640369,0.971769853,6.5357558223e-05,4.6114079e-08,0.006865553345396,4702006.554274287,0.000834558226768,5.71283856e-07,0.000668527709438,30845939.512786504,1.0,0.10944321056466114,268.249725295448,44466376.75264979,428938.31107654533
JONES,478.47882537,25217141.330082357,64.50381679389314,0.005928447155472,7.533858936e-06,0.018617638388663,98.0,31.0,2.401743654,1.761725349,0.00404766504047,3.153331258e-06,0.014545889587024,19636419.089741223,0.001108890880843,9.6045355e-08,0.000413579882934,3479177.125461135,1.0,0.028262846660876355,19.154452640433675,3484966.4783192077,574833.6006035618
LEE,261.81976938,27695394.497902185,67.49363867684478,0.00121763921421,4.709627331e-06,0.008937388939842,63.5,40.0,2.417707139,1.372238923,0.000159220400011,1.22149466e-07,0.004449272692909,3703708.004019113,0.000741214981952,4.1565866e-08,0.000539562764312,14676284.564409347,1.0,0.10189970883886507,241.6204099094757,54730844.19076956,267484.1367626293
LENOIR,405.41682207,55569008.53789115,84.60559796437659,0.001979188707453,9.966738669e-06,0.013702353530054,86.0,69.0,2.483173833,1.557181994,0.000788668305309,6.30389696e-07,0.009477215342061,22864345.387537044,0.000774987975895,2.841891466e-06,0.000583262024491,19630748.47744623,1.0,0.09808096355900103,135.939105137784,32550091.85514629,988917.9535100192
LINCOLN,307.94012223000004,33907366.51113967,73.75954198473282,0.001185410724003,3.622847144e-06,0.004392936115554,23.0,78.0,2.497006022,1.052423743,1.1118694464e-05,8.999235e-09,0.000986339896192,389430.7863281843,0.00086274649881,1.9391251e-08,0.00059694573304,23836154.94024162,1.0,0.14474893854620638,281.6261790505687,85008065.10509904,224807.84413112036
MCDOWELL,449.84722263,21741318.084757164,59.223918575063614,0.001738642049948,4.476643447e-06,0.020231092486254,54.0,33.0,2.411118216,1.29763214,1.7934919056e-05,1.3750489e-08,0.000597504171913,237590.7979433354,0.001321265988356,8.8473318e-08,0.001462492599348,15022424.082934272,1.0,0.0634209925765638,98.97804801302927,19308760.23245839,70410.71814297266
MACON,524.92001874,33911803.034757346,73.79134860050891,0.001526293273679,2.1687150201e-05,0.021409194562188,63.5,18.0,2.382696172,1.389969341,3.0365426887e-05,1.3844404e-08,0.000525367814846,427494.0144641024,0.001033413312027,7.0799414e-08,0.003160793908077,14060229.11045512,1.0,0.056408393843202384,70.4354924179663,18522519.24462392,19238.81475170428
MADISON,456.04201188,9460327.898260357,27.353689567430024,0.001600326580092,8.964094257e-06,0.014202026452993,23.0,55.00000000000001,2.460901103,1.03619908,5.812889068e-06,4.150364e-09,0.000202875255108,34870.30504698561,0.001226599485866,2.843407271e-06,0.001081726224119,6287656.984911003,1.0,0.03936615735271733,46.37072780383332,9300761.38273877,84242.88332915508
MARTIN,461.31116811,25895535.7617852,65.45801526717557,0.00275385389581,6.917890113e-06,0.017762937339663,48.0,81.0,2.503370187,1.240517955,0.001371216781282,6.83469617e-07,0.007184743445477,13038669.143366965,0.000934364121068,5.4511894e-08,0.000267004560096,8045583.526647856,1.0,0.04754252306318584,47.67714618770191,14934757.652251717,258758.30730275446
