COUNTY,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_NOINT,EP_AFAM,EP_HISP,EP_ASIAN,EP_AIAN,EP_NHPI,EP_TWOMORE,EP_OTHERRACE,E_HU_PER_SQMI,E_HH_PER_SQMI
MITCHELL,20.9,6.3,19.6,10.2,10.6,25.1,18.2,18.6,5.3,0.6,8.9,2.2,17.7,1.1,8.4,2.6,20.4,0.8,6.0,0.3,0.3,0.0,1.4,0.0,39.163765242536144,29.28355856969321
MONTGOMERY,27.1,3.1,18.1,16.1,13.9,21.2,21.2,18.0,7.5,3.5,37.5,0.3,25.2,2.4,4.4,3.5,23.8,17.1,15.9,1.5,0.5,0.0,2.3,0.2,30.36597168251358,19.337301409774327
MOORE,16.4,4.6,21.1,7.2,8.3,24.1,21.5,14.3,4.1,1.8,23.7,3.6,11.7,1.2,4.2,1.3,11.7,10.3,7.3,1.3,0.4,0.1,4.0,0.4,69.6589442290781,59.89278748388397
NASH,24.5,6.4,26.3,13.4,11.6,18.8,21.9,15.1,7.7,1.2,52.2,3.9,16.4,3.1,6.9,2.0,18.0,40.4,7.5,0.8,0.5,0.0,2.5,0.5,80.15638721697128,69.92960161798236
NEW HANOVER,21.4,4.8,30.5,6.5,10.5,18.5,18.0,12.0,4.9,1.1,23.3,16.7,2.3,0.9,6.3,2.9,9.0,11.9,6.1,1.3,0.2,0.0,3.5,0.4,596.2144168828119,520.0134030783784
NORTHAMPTON,32.3,7.6,27.8,16.5,11.2,27.6,17.6,19.0,5.2,0.3,61.1,0.6,25.7,1.7,8.1,4.3,36.5,53.8,2.6,0.1,0.2,0.0,4.2,0.2,19.84683816121372,13.905083852528916
ONSLOW,25.0,6.4,31.6,8.0,10.3,9.6,24.3,16.3,7.6,0.9,34.8,6.9,13.1,1.7,3.8,10.1,8.6,13.4,13.3,1.8,0.3,0.1,5.7,0.1,110.9207173535988,93.17728665887896
ORANGE,18.0,3.9,26.2,6.6,6.3,15.4,19.2,8.3,4.6,2.7,31.5,15.3,6.6,2.3,4.7,8.0,7.4,10.6,8.7,7.8,0.3,0.0,3.5,0.5,153.97538043767776,139.69040526074522
PAMLICO,25.1,4.6,24.0,10.0,9.3,30.3,14.5,20.9,2.4,1.3,26.1,0.9,22.9,0.3,4.8,6.8,16.6,19.2,4.5,0.6,0.1,0.0,1.6,0.1,21.413593259116873,15.244481462568633
PASQUOTANK,21.1,5.8,29.4,10.3,10.7,17.6,21.6,15.1,7.3,1.1,46.3,4.5,14.2,0.6,6.2,5.8,12.7,35.1,6.2,1.3,0.1,0.1,3.2,0.2,76.8917159727983,67.9750096722554
PENDER,18.8,6.4,21.5,9.8,9.3,18.0,22.1,16.0,5.0,1.1,26.0,3.3,22.9,2.4,3.1,1.9,13.4,13.3,7.8,0.5,0.2,0.0,3.9,0.3,34.7562995528901,26.693590958660565
PERQUIMANS,22.5,5.0,24.9,13.6,10.7,28.1,18.6,20.9,6.8,0.2,29.4,1.6,24.6,1.4,4.0,0.7,18.6,22.8,3.2,0.4,0.0,0.0,3.0,0.0,27.940006612851274,22.526782047546465
PERSON,24.8,3.7,24.5,11.6,8.4,20.3,20.6,20.2,6.1,0.4,34.4,1.1,19.6,1.6,5.2,1.2,15.1,25.5,4.9,0.4,0.1,0.0,3.4,0.1,46.82679930998019,41.13529904549152
PITT,29.9,7.5,30.6,9.8,10.1,14.1,21.2,14.8,9.2,1.4,46.9,15.0,10.9,2.0,9.2,3.8,14.4,35.0,6.7,1.7,0.2,0.0,3.0,0.2,123.80018827075403,110.60207006054401
